text,pos,total,pos_unique
"[le, mystère]","['DET', 'NOUN']",2,2
"[saints, innocents]","['NOUN', 'ADJ']",2,2
[delectissimis],['NOUN'],1,1
"[in, intimo, corde]","['DET', 'ADJ', 'NOUN']",3,3
"[cahier, dimanche, rameaux]","['NOUN', 'NOUN', 'ADJ']",3,2
"[dimanche, pâques, treizième, série]","['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
"[cahier, préparatoire]","['NOUN', 'ADJ']",2,2
"[quatre, cent, quatre-vingt-troisième, anniversaire]","['NUM', 'NOUN', 'ADJ', 'NOUN']",4,3
"[délivrance, d', orléans]","['NOUN', 'ADP', 'NOUN']",3,2
"[anniversaire, tombera]","['NOUN', 'VERB']",2,2
"[mercredi, mai, l', an, .]","['NOUN', 'NOUN', 'DET', 'NOUN', 'PUNCT']",5,3
[mystère],['ADJ'],1,1
"[saints, innocents]","['NOUN', 'ADJ']",2,2
"[madame, gervaise]","['NOUN', 'VERB']",2,2
"[dit, dieu, maître, trois, vertus]","['VERB', 'NOUN', 'NOUN', 'NUM', 'NOUN']",5,3
"[foi, épouse, fidèle]","['NOUN', 'NOUN', 'ADJ']",3,2
"[charité, mère, ardente]","['NOUN', 'NOUN', 'ADJ']",3,2
"[l', espérance, toute, petite, fille]","['DET', 'NOUN', 'ADJ', 'ADJ', 'NOUN']",5,3
"[dit, dieu, maître, vertus]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"[foi, celle, tient, bon, siècles, siècles]","['NOUN', 'PRON', 'VERB', 'ADJ', 'NOUN', 'ADJ']",6,4
"[charité, celle, donne, siècles, siècles]","['NOUN', 'PRON', 'VERB', 'ADJ', 'ADJ']",5,4
"[petite, espérance, celle]","['ADJ', 'NOUN', 'PRON']",3,3
"[lève, tous, matins]","['VERB', 'DET', 'NOUN']",3,3
"[dit, dieu, seigneur, vertus]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"[foi, celle, tendue, siècles, siècles]","['NOUN', 'PRON', 'ADJ', 'ADJ', 'ADJ']",5,3
"[charité, celle, détend, siècles, siècles]","['NOUN', 'PRON', 'VERB', 'ADJ', 'ADJ']",5,4
"[petite, espérance]","['ADJ', 'NOUN']",2,2
"[celle, tous, matins]","['PRON', 'ADJ', 'NOUN']",3,3
"[donne, bonjour]","['VERB', 'VERB']",2,1
"[dit, dieu, seigneur, vertus]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"[foi, soldat, c', est, capitaine, défend, forteresse]","['NOUN', 'NOUN', 'PRON', 'AUX', 'NOUN', 'VERB', 'NOUN']",7,4
"[ville, roi]","['NOUN', 'NOUN']",2,1
"[marches, gascogne, marches, lorraine]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[charité, médecin, c', est, petite, soeur, pauvres]","['NOUN', 'NOUN', 'PRON', 'AUX', 'ADJ', 'NOUN', 'ADJ']",7,4
"[soigne, malades, soigne, blessés]","['VERB', 'ADJ', 'VERB', 'ADJ']",4,2
"[pauvres, roi]","['ADJ', 'NOUN']",2,2
"[marches, gascogne, marches, lorraine]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[petite, espérance, celle]","['ADJ', 'NOUN', 'PRON']",3,3
"[dit, bonjour, pauvre, l', orphelin]","['VERB', 'NOUN', 'ADJ', 'DET', 'NOUN']",5,4
"[dit, dieu, seigneur, vertus]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"[foi, église, c', est, cathédrale, enracinée, sol]","['NOUN', 'NOUN', 'PRON', 'AUX', 'ADJ', 'VERB', 'ADJ']",7,5
[france],['NOUN'],1,1
"[charité, hôpital, hôtel, -, dieu, ramasse, toutes]","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'VERB', 'DET']",7,4
"[misères, monde]","['NOUN', 'NOUN']",2,1
"[sans, l', espérance, tout, ça, qu', un, cimetière]","['ADP', 'DET', 'NOUN', 'ADJ', 'PRON', 'SCONJ', 'DET', 'NOUN']",8,6
"[dit, dieu, seigneur, vertus]","['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
"[foi, celle, veille, siècles, siècles]","['NOUN', 'PRON', 'NOUN', 'ADJ', 'ADJ']",5,3
"[charité, celle, veille, siècles, siècles]","['NOUN', 'PRON', 'NOUN', 'ADJ', 'ADJ']",5,3
"[petite, espérance, celle]","['ADJ', 'NOUN', 'PRON']",3,3
"[couche, tous, soirs]","['NOUN', 'ADJ', 'NOUN']",3,2
"[lève, tous, matins]","['VERB', 'DET', 'NOUN']",3,3
"[fait, vraiment, très, bonnes, nuits]","['VERB', 'ADV', 'ADV', 'ADJ', 'NOUN']",5,4
"[dit, dieu, seigneur, cette, vertu, -là]","['VERB', 'NOUN', 'NOUN', 'DET', 'NOUN', 'PRON']",6,4
"[petite, espérance, celle]","['ADJ', 'NOUN', 'PRON']",3,3
"[s', endort, tous, soirs]","['PRON', 'VERB', 'DET', 'NOUN']",4,4
"[lit, d', enfant]","['NOUN', 'ADP', 'NOUN']",3,2
"[après, avoir, bien, fait, prière]","['ADP', 'AUX', 'ADV', 'VERB', 'NOUN']",5,5
"[tous, matins, réveille, lève]","['DET', 'NOUN', 'VERB', 'VERB']",4,3
"[fait, prière, regard, nouveau]","['VERB', 'NOUN', 'NOUN', 'ADJ']",4,3
"[dit, dieu, seigneur, trois, vertus]","['VERB', 'NOUN', 'NOUN', 'NUM', 'NOUN']",5,3
"[foi, grand, arbre, c', est, chêne, enraciné, coeur, france]","['NOUN', 'ADJ', 'NOUN', 'PRON', 'AUX', 'NOUN', 'VERB', 'NOUN', 'ADJ']",9,5
"[sous, ailes, cet, arbre, charité, fille, charité, abrite]","['ADP', 'NOUN', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB']",8,5
"[toutes, détresses, monde]","['ADJ', 'NOUN', 'NOUN']",3,2
"[petite, espérance, n', est, rien, cette, petite, promesse]","['ADJ', 'NOUN', 'ADV', 'AUX', 'PRON', 'DET', 'ADJ', 'NOUN']",8,6
"[bourgeon, s', annonce, fin, commencement, d', avril]","['ADJ', 'PRON', 'VERB', 'ADV', 'ADV', 'ADP', 'NOUN']",7,6
"[quand, voit, l', arbre, quand, regardez, chêne]","['SCONJ', 'VERB', 'DET', 'NOUN', 'SCONJ', 'ADJ', 'NOUN']",7,5
"[cette, rude, écorce, chêne, treize, quatorze, fois, dix-huit, fois]","['DET', 'ADJ', 'NOUN', 'NOUN', 'NUM', 'NUM', 'NOUN', 'ADP', 'NOUN']",9,5
[centenaire],['NOUN'],1,1
"[centenaire, séculaire, siècles, siècles]","['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
"[cette, dure, écorce, rugueuse, branches, comme, fouillis]","['DET', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN']",7,4
"[bras, énormes]","['NOUN', 'ADJ']",2,2
"[fouillis, ordre]","['ADJ', 'NOUN']",2,2
"[racines, s', enfoncent, empoignent, terre, comme]","['NOUN', 'PRON', 'VERB', 'VERB', 'VERB', 'ADP']",6,4
"[fouillis, jambes, énormes]","['ADJ', 'NOUN', 'ADJ']",3,2
"[fouillis, ordre]","['ADJ', 'NOUN']",2,2
